id,age,income,category,score,is_active,target
1,35,52000,A,78.5,1,0
2,42,68000,B,82.3,1,0
3,28,41000,A,65.2,1,1
4,55,95000,C,91.0,1,0
5,31,48000,B,71.8,0,1
6,47,72000,A,85.6,1,0
7,39,55000,C,76.4,1,0
8,26,38000,B,62.1,1,1
9,52,88000,A,89.2,1,0
10,33,51000,C,74.9,0,0
11,44,,B,80.5,1,0
12,29,43000,A,,1,1
13,58,102000,C,93.7,1,0
14,36,54000,B,77.2,1,0
15,41,65000,A,83.1,1,0
16,27,,C,64.8,0,1
17,49,78000,B,87.4,1,0
18,34,50000,A,75.6,1,0
19,46,71000,C,,1,0
20,30,45000,B,69.3,1,1
21,53,92000,A,90.1,1,0
22,38,57000,C,79.8,1,0
23,25,36000,B,61.5,0,1
24,51,85000,A,88.6,1,0
25,32,49000,C,73.2,1,0
26,45,70000,B,84.3,1,0
27,28,,A,66.9,1,1
28,56,98000,C,92.4,1,0
29,37,56000,B,78.0,1,0
30,43,67000,A,81.7,1,0

